category,batch,key,tests,pairedCompleted,baselineStatus,baselineReason,fspecStatus,fspecReason,baselineTotalRuntimeMs,fspecTotalRuntimeMs,baselineProjectedCG,fspecProjectedCG
pathtraver,103,pathtraver-b0103-cc55224f52,BenchmarkTest02108;BenchmarkTest02109,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,589565,6478897,37653,34249
pathtraver,115,pathtraver-b0115-743f673c50,BenchmarkTest02379;BenchmarkTest02380,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,582800,636982,37705,34301
pathtraver,116,pathtraver-b0116-f7e55e70af,BenchmarkTest02381;BenchmarkTest02382,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,3878988,5127782,37469,34066
pathtraver,117,pathtraver-b0117-89086f3101,BenchmarkTest02383;BenchmarkTest02462,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,676007,5901101,37445,34042
pathtraver,120,pathtraver-b0120-424b924fc5,BenchmarkTest02467;BenchmarkTest02468,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,480931,655176,37709,34305
pathtraver,121,pathtraver-b0121-42d7e8b939,BenchmarkTest02469;BenchmarkTest02470,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,745685,684940,37647,34243
pathtraver,127,pathtraver-b0127-6c239f16b0,BenchmarkTest02563;BenchmarkTest02564,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,559467,622812,37725,34308
sqli,7,sqli-b0007-c482fcc160,BenchmarkTest00100;BenchmarkTest00101,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,1308694,3255209,127715,111768
sqli,10,sqli-b0010-bd152a58dd,BenchmarkTest00106;BenchmarkTest00107,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,1416293,3806390,127932,111984
sqli,11,sqli-b0011-17680b97d2,BenchmarkTest00108;BenchmarkTest00109,False,completed,,excluded,flowdroid-oom+termination-2,968105,3764895,127894,111946
sqli,12,sqli-b0012-6157f74bce,BenchmarkTest00110;BenchmarkTest00111,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,1437634,3631459,127938,111990
sqli,13,sqli-b0013-83f55579b1,BenchmarkTest00112;BenchmarkTest00113,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,2852941,4827064,127730,111783
sqli,14,sqli-b0014-a4e5f44983,BenchmarkTest00114;BenchmarkTest00115,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,2921688,4699264,127709,111762
sqli,20,sqli-b0020-9a0fb2e13a,BenchmarkTest00200;BenchmarkTest00201,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,1273695,3109770,128442,112454
sqli,21,sqli-b0021-fb6e94935a,BenchmarkTest00202;BenchmarkTest00203,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,1253466,3641311,127930,111982
sqli,23,sqli-b0023-087e0e9864,BenchmarkTest00206;BenchmarkTest00328,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,1325497,3694128,127936,111988
sqli,35,sqli-b0035-8e1ede5d57,BenchmarkTest00434;BenchmarkTest00435,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,1185922,3504001,128208,112234
sqli,38,sqli-b0038-1688e008f6,BenchmarkTest00440;BenchmarkTest00441,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,1848073,4623585,127698,111764
sqli,54,sqli-b0054-0c4956a6bb,BenchmarkTest00673;BenchmarkTest00674,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,1364960,3387216,127899,111964
sqli,57,sqli-b0057-495a61fdc5,BenchmarkTest00679;BenchmarkTest00680,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,2773240,3756286,128477,112431
sqli,63,sqli-b0063-99f21e3480,BenchmarkTest00768;BenchmarkTest00769,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,2501324,4889138,128518,112472
sqli,64,sqli-b0064-6fd9804542,BenchmarkTest00770;BenchmarkTest00771,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,2795458,4971205,127693,111759
sqli,66,sqli-b0066-aecce63205,BenchmarkTest00774;BenchmarkTest00837,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,1248559,3421902,127718,111771
sqli,69,sqli-b0069-0ab10aec29,BenchmarkTest00842;BenchmarkTest00843,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,2631126,4728735,128365,112376
sqli,82,sqli-b0082-4141546594,BenchmarkTest00940;BenchmarkTest00996,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,1384087,4036065,127911,111963
sqli,87,sqli-b0087-174a2b66ec,BenchmarkTest01005;BenchmarkTest01006,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,1261505,3496149,128414,112425
sqli,94,sqli-b0094-b9d55024f3,BenchmarkTest01089;BenchmarkTest01090,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,1244821,3429815,128716,112666
sqli,96,sqli-b0096-72928481a5,BenchmarkTest01093;BenchmarkTest01094,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,2591431,4596688,127721,111774
sqli,106,sqli-b0106-d2c4329220,BenchmarkTest01222;BenchmarkTest01301,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,1246394,3772080,127948,112000
sqli,110,sqli-b0110-e2ceebb3eb,BenchmarkTest01308;BenchmarkTest01309,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,1678771,3385502,128938,112900
sqli,133,sqli-b0133-5ad2a0ecfe,BenchmarkTest01552;BenchmarkTest01553,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,2000601,4529986,128165,112191
sqli,135,sqli-b0135-b17a3119a2,BenchmarkTest01556;BenchmarkTest01557,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,2796083,5412957,128335,112359
sqli,136,sqli-b0136-a5f513bd2a,BenchmarkTest01558;BenchmarkTest01559,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,2613589,4577105,127691,111757
sqli,143,sqli-b0143-f09a66d4e0,BenchmarkTest01631;BenchmarkTest01712,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,1182867,3169053,127724,111777
sqli,148,sqli-b0148-a786fb526f,BenchmarkTest01721;BenchmarkTest01722,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,1654527,5627967,128261,112274
sqli,165,sqli-b0165-ca59890649,BenchmarkTest01880;BenchmarkTest01881,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,1333284,3512221,128224,112237
sqli,166,sqli-b0166-96d1adf0cc,BenchmarkTest01882;BenchmarkTest01883,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,2677769,4198983,128537,112649
sqli,168,sqli-b0168-5e2c582b03,BenchmarkTest01886;BenchmarkTest01887,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,1295051,4032289,127934,111986
sqli,171,sqli-b0171-c5ef6c4797,BenchmarkTest01961;BenchmarkTest01962,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,1482292,3729296,127936,111988
sqli,188,sqli-b0188-f8adb99f0f,BenchmarkTest02177;BenchmarkTest02178,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,2481909,4758955,128614,112520
sqli,189,sqli-b0189-4c4527b161,BenchmarkTest02179;BenchmarkTest02180,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,2662239,4090870,128347,112371
sqli,190,sqli-b0190-8655ad0e3e,BenchmarkTest02181;BenchmarkTest02182,False,excluded,flowdroid-oom+termination-2,completed,,1270886,3566096,128643,112592
sqli,191,sqli-b0191-eee3559dea,BenchmarkTest02183;BenchmarkTest02184,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-timeout+termination-1,1265658,4008596,129243,113309
sqli,193,sqli-b0193-ef90502407,BenchmarkTest02187;BenchmarkTest02188,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,1370795,3383007,127903,111968
sqli,216,sqli-b0216-3d002f63b1,BenchmarkTest02451;BenchmarkTest02452,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,1289451,3528449,128844,112749
sqli,217,sqli-b0217-e764e43adf,BenchmarkTest02453;BenchmarkTest02454,False,excluded,flowdroid-oom+termination-2,completed,,1538273,3117754,128646,112599
sqli,224,sqli-b0224-887dc3a4fc,BenchmarkTest02538;BenchmarkTest02539,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,1421062,3483072,129257,113323
sqli,228,sqli-b0228-8c208a021b,BenchmarkTest02546;BenchmarkTest02625,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,1276687,3318733,127719,111772
sqli,232,sqli-b0232-851b01f7a8,BenchmarkTest02632;BenchmarkTest02633,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,1337053,3523553,127933,111985
sqli,235,sqli-b0235-e978db3ee4,BenchmarkTest02638;BenchmarkTest02639,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,1330699,3535937,128455,112467
sqli,239,sqli-b0239-6e697539e9,BenchmarkTest02646;BenchmarkTest02647,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,1255532,3629311,128430,112442
sqli,240,sqli-b0240-c2b3abc85b,BenchmarkTest02648;BenchmarkTest02649,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,1735176,5102440,127716,111769
sqli,242,sqli-b0242-dbc32e2989,BenchmarkTest02652;BenchmarkTest02653,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,1528105,3737519,127938,111990
trustbound,2,trustbound-b0002-d3623efad6,BenchmarkTest00099;BenchmarkTest00189,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,548232,645482,37704,33933
trustbound,8,trustbound-b0008-a4aeeb63d9,BenchmarkTest00327;BenchmarkTest00424,False,excluded,flowdroid-oom+termination-2,completed,,828192,262246,37676,33905
trustbound,10,trustbound-b0010-b82f72b027,BenchmarkTest00427;BenchmarkTest00508,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,425810,6344110,37665,33907
trustbound,14,trustbound-b0014-bd999c08cd,BenchmarkTest00671;BenchmarkTest00754,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,4903881,6957529,37427,33670
trustbound,18,trustbound-b0018-8a1b52dc84,BenchmarkTest00834;BenchmarkTest00835,False,excluded,flowdroid-oom+termination-2,completed,,808897,191089,37663,33892
trustbound,19,trustbound-b0019-10242efb5e,BenchmarkTest00836;BenchmarkTest00922,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,661761,632699,37457,33687
trustbound,22,trustbound-b0022-2617d7c6fa,BenchmarkTest00994;BenchmarkTest00995,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,406736,559177,37544,33745
trustbound,35,trustbound-b0035-f7076f4e22,BenchmarkTest01546;BenchmarkTest01547,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,452024,574907,37512,33753
trustbound,37,trustbound-b0037-6823445c84,BenchmarkTest01550;BenchmarkTest01551,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,415513,628007,37678,33920
