category,batch,key,tests,pairedCompleted,baselineStatus,baselineReason,fspecStatus,fspecReason,baselineTotalRuntimeMs,fspecTotalRuntimeMs,baselineProjectedCG,fspecProjectedCG
cmdi,124,cmdi-b0124-2843576f98,BenchmarkTest02699;BenchmarkTest02713,True,completed,,completed,,64792,121767,37809,33992
cmdi,125,cmdi-b0125-d00c063e40,BenchmarkTest02714,True,completed,,completed,,44398,87092,37805,33988
ldapi,0,ldapi-b0000-731039216d,BenchmarkTest00012;BenchmarkTest00021,True,completed,,completed,,44175,88977,38220,34657
ldapi,1,ldapi-b0001-67ee595018,BenchmarkTest00044;BenchmarkTest00138,True,completed,,completed,,49135,87811,38221,34658
ldapi,2,ldapi-b0002-0dcefb4331,BenchmarkTest00139;BenchmarkTest00367,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,521602,688432,38484,34920
ldapi,3,ldapi-b0003-8356d56865,BenchmarkTest00530;BenchmarkTest00630,True,completed,,completed,,47749,91434,38190,34640
ldapi,4,ldapi-b0004-6a81732a6f,BenchmarkTest00694;BenchmarkTest00695,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,11593379,4937519,38190,34640
ldapi,5,ldapi-b0005-a8a83f0af3,BenchmarkTest00701;BenchmarkTest00860,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,3536702,6029213,38438,34887
ldapi,6,ldapi-b0006-4ddc9ca7a5,BenchmarkTest00861;BenchmarkTest00947,True,completed,,completed,,47555,94328,38245,34682
ldapi,7,ldapi-b0007-c52551cac0,BenchmarkTest00948;BenchmarkTest00959,False,excluded,flowdroid-oom+termination-2,excluded,flowdroid-oom+termination-2,5103537,13655114,38232,34669
ldapi,8,ldapi-b0008-84f5a091bc,BenchmarkTest01023;BenchmarkTest01024,True,completed,,completed,,47131,91440,38229,34666
ldapi,9,ldapi-b0009-bf9d7f542e,BenchmarkTest01154;BenchmarkTest01241,False,excluded,flowdroid-oom+termination-2,completed,,878809,231564,38431,34867
ldapi,10,ldapi-b0010-4c8e3503df,BenchmarkTest01242;BenchmarkTest01243,True,completed,,completed,,48961,97588,38214,34664
ldapi,11,ldapi-b0011-50cff4137d,BenchmarkTest01326;BenchmarkTest01327,True,completed,,completed,,51436,91741,38401,34850
